RESOURCEID	资源标题	所属课程	文件路径	关键词	作者	学科1	学科2	所属知识点1	所属知识点2	资源描述	媒体类型	资源应用类型	文件格式
rid000321	采用基数排序方法时间复杂性最佳	数据结构网络课程	74\page\chap09\090603b.htm	采用基数排序方法，时间复杂性，最佳	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	分布排序	采用基数排序方法时间复杂性最佳	文本	方法型知识元	text/html
rid000322	对各种内部排序方法的总结	数据结构网络课程	74\page\chap09\090701.asp	各种，内部，排序方法，总结	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	内部排序方法的总结	对各种内部排序方法的总结	程序	理论型知识元	application/x-javascript
rid000323	插入排序算法示意图	数据结构网络课程	74\images\chap09\C9P7.gif	插入排序，算法，示意图	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	插入排序	插入排序算法示意图	图片	教学课件	image/gif
rid000324	冒泡排序的上浮起泡和下沉起泡	数据结构网络课程	74\images\chap09\C9P8.gif	冒泡排序，上浮，起泡，下沉起泡	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	交换排序	冒泡排序的上浮起泡和下沉起泡	图片	教学课件	image/gif
rid000325	三个元素的排序判定树	数据结构网络课程	74\images\chap09\C9P16.gif	三个元素的排序判定树	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	排序下界	三个元素的排序判定树	图片	教学课件	image/gif
rid000326	对各种内部排序方法的总结	数据结构网络课程	74\images\chap09\C9P23.gif	各种，内部，排序方法，总结	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	内部排序方法的总结	对各种内部排序方法的总结	图片	教学课件	image/gif
rid000327	一次冒泡排序的图示	数据结构网络课程	74\images\chap09\C9P6.jpg	一次，冒泡，图示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	插入排序	一次冒泡排序的图示	图片	教学课件	image/jpg
rid000328	直接插入排序的动画演示	数据结构网络课程	74\animation\chap09\C9M2.swf	直接插入排序，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	插入排序	直接插入排序的动画演示	动画	教学课件	application/x-shockwave-flash
rid000329	渐减增量排序法的动画演示	数据结构网络课程	74\animation\chap09\C9M3.swf	渐减增量排序法，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	插入排序	渐减增量排序法的动画演示	动画	教学课件	application/x-shockwave-flash
rid000330	冒泡排序的动画演示	数据结构网络课程	74\animation\chap09\C9M5.swf	冒泡排序，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	交换排序	冒泡排序的动画演示	动画	教学课件	application/x-shockwave-flash
rid000331	交换排序的迭代过程的动画演示	数据结构网络课程	74\animation\chap09\C9M8.swf	交换排序，迭代过程，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	交换排序	交换排序的迭代过程的动画演示	动画	教学课件	application/x-shockwave-flash
rid000332	初始建堆的动画演示	数据结构网络课程	74\animation\chap09\C9M9.swf	初始建堆，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	选择排序	初始建堆的动画演示	动画	教学课件	application/x-shockwave-flash
rid000333	直接选择排序算法SSort的动画演示	数据结构网络课程	74\animation\chap09\C9M9A.swf	直接选择排序算法，Ssort，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	选择排序	直接选择排序算法SSort的动画演示	动画	教学课件	application/x-shockwave-flash
rid000334	锦标赛排序的动画演示	数据结构网络课程	74\animation\chap09\C9M9B.swf	锦标赛排序，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	选择排序	锦标赛排序的动画演示	动画	教学课件	application/x-shockwave-flash
rid000335	堆排序时插入元素的动画演示	数据结构网络课程	74\animation\chap09\C9M9D.swf	堆，排序，插入元素，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	选择排序	堆排序时插入元素的动画演示	动画	教学课件	application/x-shockwave-flash
rid000336	最大堆删除根结点的动画演示	数据结构网络课程	74\animation\chap09\C9M9E.swf	最大堆，删除根结点，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	选择排序	最大堆删除根结点的动画演示	动画	教学课件	application/x-shockwave-flash
rid000337	堆排序算法的动画演示	数据结构网络课程	74\animation\chap09\C9M10.swf	堆排序，算法，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	选择排序	堆排序算法的动画演示	动画	教学课件	application/x-shockwave-flash
rid000338	最低位排序法的动画演示	数据结构网络课程	74\animation\chap09\C9M11.swf	最低位排序法，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	分布排序	最低位排序法的动画演示	动画	教学课件	application/x-shockwave-flash
rid000339	中间位排序法的动画演示	数据结构网络课程	74\animation\chap09\C9M12.swf	中间位排序法，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	分布排序	中间位排序法的动画演示	动画	教学课件	application/x-shockwave-flash
rid000340	最高位排序法的动画演示	数据结构网络课程	74\animation\chap09\C9M13.swf	最高位排序法，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	分布排序	最高位排序法的动画演示	动画	教学课件	application/x-shockwave-flash
rid000341	合并排序的迭代过程的动画演示	数据结构网络课程	74\animation\chap09\C9M14.swf	合并排序，迭代过程，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	合并排序	合并排序的迭代过程的动画演示	动画	教学课件	application/x-shockwave-flash
rid000342	合并排序的动画演示	数据结构网络课程	74\animation\chap09\C9M15.swf	合并排序，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	合并排序	合并排序的动画演示	动画	教学课件	application/x-shockwave-flash
rid000343	文件合并的动画演示	数据结构网络课程	74\animation\chap09\C9M16.swf	文件，合并，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	合并排序	文件合并的动画演示	动画	教学课件	application/x-shockwave-flash
rid000344	基数排序的动画演示	数据结构网络课程	74\animation\chap09\C9M27.swf	基数排序，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	排序	分布排序	基数排序的动画演示	动画	教学课件	application/x-shockwave-flash
rid000345	查找的总述	数据结构网络课程	74\page\chap10\100101.asp	查找，总述	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	数据结构	在本章中，我们讨论查找的各种技术。	程序	理论型知识元	application/x-javascript
rid000346	顺序查找	数据结构网络课程	74\page\chap10\100102.asp	顺序，查找，算法	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	线性表查找	 查找算法中，最简单的莫过于顺序查找.	程序	理论型知识元	application/x-javascript
rid000347	自组织表的实现有两种方法	数据结构网络课程	74\page\chap10\100102a.asp	自组织表，实现，两种方法	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	线性表查找	自组织表的实现有两种方法	程序	理论型知识元	application/x-javascript
rid000348	顺序查找算法演示	数据结构网络课程	74\page\chap10\100102b.asp	顺序查找，算法演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	线性表查找	顺序查找算法演示	程序	理论型知识元	application/x-javascript
rid000349	举例说明顺序查找算法的时间复杂性	数据结构网络课程	74\page\chap10\100102c.asp	举例说明，顺序查找算法，时间复杂性	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	线性表查找	举例说明顺序查找算法的时间复杂性	程序	理论型知识元	application/x-javascript
rid000350	有序表的查找	数据结构网络课程	74\page\chap10\100103.asp	有序表，查找	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	线性表查找	有序表的查找	程序	理论型知识元	application/x-javascript
rid000351	对半（折半，二分）查找的思想和算法	数据结构网络课程	74\page\chap10\100104.asp	对半，折半，二分，查找，思想，算法，静态查找方法	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	线性表查找	对半（折半，二分）查找的思想和算法	程序	理论型知识元	application/x-javascript
rid000352	对半查找用的二叉判定树的递归构造过程	数据结构网络课程	74\page\chap10\100104a.htm	对半查找，二叉判定树，递归，构造过程	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	线性表查找	对半查找的二叉判定树的递归构造过程	文本	方法型知识元	text/html
rid000353	对半查找二叉判定树的性质	数据结构网络课程	74\page\chap10\100104b.htm	对半查找，二叉判定树，性质	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	线性表查找	对半查找二叉判定树的性质	文本	方法型知识元	text/html
rid000354	斐波纳契（Fibonacci ）查找	数据结构网络课程	74\page\chap10\100105.asp	斐波纳契，Fibonacci ，查找，	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	线性表查找	斐波纳契（Fibonacci ）查找。	程序	理论型知识元	application/x-javascript
rid000355	斐波纳契序列的历史	数据结构网络课程	74\page\chap10\100105a.asp	斐波纳契序列，历史	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	线性表查找	斐波纳契序列的历史	程序	理论型知识元	application/x-javascript
rid000356	Fibonacci查找算法	数据结构网络课程	74\page\chap10\100106.asp	Fibonacci，查找，算法	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	线性表查找	Fibonacci查找算法	程序	理论型知识元	application/x-javascript
rid000357	Fibonacci查找算法的时间复杂性	数据结构网络课程	74\page\chap10\100106a.htm	Fibonacci，查找算法，时间复杂性	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	线性表查找	Fibonacci查找算法的时间复杂性	文本	方法型知识元	text/html
rid000358	Fibonacci查找算法演示	数据结构网络课程	74\page\chap10\100106b.htm	Fibonacci，查找，算法，演示，Fibonacci查找树	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	线性表查找	Fibonacci查找算法演示	文本	方法型知识元	text/html
rid000359	插值查找算法	数据结构网络课程	74\page\chap10\100107.asp	插值查找，算法，两个假设条件	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	线性表查找	插值查找算法一般需满足两个假设条件	程序	理论型知识元	application/x-javascript
rid000360	插值查找算法性能分析	数据结构网络课程	74\page\chap10\100107a.htm	插值查找，算法，性能分析	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	线性表查找	插值查找算法性能分析	文本	方法型知识元	text/html
rid000361	二叉树查找的定义和基本操作	数据结构网络课程	74\page\chap10\100201.asp	二叉树查找，定义，基本操作	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	二叉树查找的定义和基本操作	程序	理论型知识元	application/x-javascript
rid000362	二叉查找树的抽象数据类型描述和算法	数据结构网络课程	74\page\chap10\100202.asp	二叉查找树，抽象数据类型描述，算法	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	二叉查找树的抽象数据类型描述和算法	程序	理论型知识元	application/x-javascript
rid000363	静态树查找	数据结构网络课程	74\page\chap10\100203.asp	静态树，查找	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	静态树插入和删除时表中的元素不变动。	程序	理论型知识元	application/x-javascript
rid000364	最优树形的子树形一定是最优树形	数据结构网络课程	74\page\chap10\100204.asp	最优树形，子树形	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	最优树形的子树形一定是最优树形。	程序	理论型知识元	application/x-javascript
rid000365	构造最优二叉查找树算法	数据结构网络课程	74\page\chap10\100205.asp	构造，最优二叉查找树，算法	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	构造最优二叉查找树算法	程序	理论型知识元	application/x-javascript
rid000366	构造最优二叉查找树的例子	数据结构网络课程	74\page\chap10\100206.asp	构造，最优二叉查找树，例子	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	构造最优二叉查找树的例子	程序	理论型知识元	application/x-javascript
rid000367	构造最优二叉查找树算法的改进	数据结构网络课程	74\page\chap10\100206A.HTM	构造，最优二叉查找树，算法，改进	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	构造最优二叉查找树算法的改进	文本	方法型知识元	text/html
rid000368	近似最优树的出现理由及实现方法	数据结构网络课程	74\page\chap10\100207.asp	近似最优树，出现理由，实现方法	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	近似最优树的出现理由及实现方法	程序	理论型知识元	application/x-javascript
rid000369	动态树查找和二叉查找树的查找与插入算法	数据结构网络课程	74\page\chap10\100208.asp	动态树，查找，二叉查找树的查找与插入算法	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	动态树插入和删除时表中的元素可能变动。	程序	理论型知识元	application/x-javascript
rid000370	二叉查找树bstree中插入方法insert的c++实现	数据结构网络课程	74\page\chap10\100208A.HTM	二叉查找树，bstree，插入方法，insert，c++实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	二叉查找树bstree中插入方法insert的c++实现	文本	方法型知识元	text/html
rid000371	二叉查找树的删除过程	数据结构网络课程	74\page\chap10\100209.asp	二叉查找树，删除过程	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	二叉查找树的删除过程	程序	理论型知识元	application/x-javascript
rid000372	二叉查找树bstree中的删除方法delete的C++实现	数据结构网络课程	74\page\chap10\100209A.HTM	二叉查找树，bstree，删除方法，delete，C++，实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	二叉查找树bstree中的删除方法delete的C++实现	文本	方法型知识元	text/html
rid000373	AVL树（高度平衡树）的定义和性质	数据结构网络课程	74\page\chap10\100210.asp	AVL树，高度平衡树，定义，性质	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	AVL树（高度平衡树）的定义和性质	程序	理论型知识元	application/x-javascript
rid000374	高度平衡树的插入的两种情况	数据结构网络课程	74\page\chap10\100211.asp	高度平衡树，插入，两种情况	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	高度平衡树的插入的两种情况	程序	理论型知识元	application/x-javascript
rid000375	高度平衡树的插入后的动态变化	数据结构网络课程	74\page\chap10\100212.asp	高度平衡树，插入，动态变化，保持平衡	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	高度平衡树的插入后的动态变化	程序	理论型知识元	application/x-javascript
rid000376	AVL树的类声明	数据结构网络课程	74\page\chap10\100213.asp	AVL树，高度平衡树，类声明	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	AVL树的类声明	程序	理论型知识元	application/x-javascript
rid000377	高度平衡树的查找与插入算法	数据结构网络课程	74\page\chap10\100213A.HTM	高度平衡树，查找，插入，算法	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	高度平衡树的查找与插入算法	文本	方法型知识元	text/html
rid000378	高度平衡树的删除	数据结构网络课程	74\page\chap10\100214.asp	高度平衡树，删除	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	与插入过程相比较，删除过程比较复杂．	程序	理论型知识元	application/x-javascript
rid000379	红-黑（Red-Black）树的定义、性质和引理	数据结构网络课程	74\page\chap10\100215.asp	红-黑树，Red-Black树，定义，性质，引理	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	红-黑（Red-Black）树的定义、性质和引理	程序	理论型知识元	application/x-javascript
rid000380	红黑树的插入操作	数据结构网络课程	74\page\chap10\100216.asp	红黑树，插入，操作	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	红黑树的插入操作	程序	理论型知识元	application/x-javascript
rid000381	红黑树插入后的旋转和删除操作	数据结构网络课程	74\page\chap10\100217.asp	红黑树，插入后，旋转，删除，操作	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	红黑树插入后的旋转和删除操作	程序	理论型知识元	application/x-javascript
rid000382	红黑树删除后的旋转	数据结构网络课程	74\page\chap10\100218.asp	红黑树，删除后，旋转	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	红黑树删除后的旋转	程序	理论型知识元	application/x-javascript
rid000383	(a,b) 树,B树，B+树的定义	数据结构网络课程	74\page\chap10\100219.asp	(a,b)树,B树，B+树，定义	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	(a,b) 树,B树，B+树的定义	程序	理论型知识元	application/x-javascript
rid000384	B+树与B树的定义和区别	数据结构网络课程	74\page\chap10\100220.asp	B+树，B树，定义，区别	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	B+树与B树的定义和区别	程序	理论型知识元	application/x-javascript
rid000385	增长树的定义	数据结构网络课程	74\page\chap10\100220A.HTM	增长树，定义，扩充的二叉树	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	增长树，即是扩充的二叉树	文本	方法型知识元	text/html
rid000386	(a，b)-树的性质定理和插入过程	数据结构网络课程	74\page\chap10\100221.asp	(a，b)-树，性质定理，插入过程	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	(a，b)-树的性质定理和插入过程	程序	理论型知识元	application/x-javascript
rid000387	(a，b)-树的删除过程	数据结构网络课程	74\page\chap10\100222.asp	(a，b)-树，删除过程	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	(a，b)-树的删除过程	程序	理论型知识元	application/x-javascript
rid000388	基于平衡树的线性表的归并与拆分	数据结构网络课程	74\page\chap10\100223.asp	基于平衡树，线性表，归并，拆分	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	基于平衡树的线性表的归并与拆分	程序	应用	application/x-javascript
rid000389	基于二叉查找树的统计直方图 	数据结构网络课程	74\page\chap10\100224.asp	基于二叉查找树，统计直方图	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	基于二叉查找树的统计直方图	程序	应用	application/x-javascript
rid000390	查找树的直方图C++程序	数据结构网络课程	74\page\chap10\100224A.HTM	查找树，直方图，C++，程序	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	二叉查找树	查找树的直方图C++程序	文本	应用	text/html
rid000391	数字查找树	数据结构网络课程	74\page\chap10\100301.asp	数字，查找树	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	数字查找	前两节我们讨论了基于元素顺序的表组织，本节我们将考虑基于元素表示的表组织。 	程序	理论型知识元	application/x-javascript
rid000392	杂凑表的定义和主要操作	数据结构网络课程	74\page\chap10\100401.asp	杂凑表，定义，主要操作	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	杂凑	杂凑表（散列表）根据给定的杂凑函数Hash (Key)和处理冲突的方法，将一组关键词映射到一个有限的连续的地址区间上。	程序	理论型知识元	application/x-javascript
rid000393	杂凑历史空间	数据结构网络课程	74\page\chap10\100401A.HTM	杂凑，历史空间	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	杂凑	杂凑历史空间	文本	方法型知识元	text/html
rid000394	杂凑函数	数据结构网络课程	74\page\chap10\100402.asp	杂凑函数，四种杂凑函数构造方法，抽取法，压缩法	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	杂凑	杂凑函数的定义，四种杂凑函数构造方法的前两种：抽取法，压缩法	程序	理论型知识元	application/x-javascript
rid000395	除法杂凑函数和乘法杂凑函数	数据结构网络课程	74\page\chap10\100403.asp	除法杂凑函数，乘法杂凑函数	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	查找	杂凑	除法杂凑函数和乘法杂凑函数	程序	理论型知识元	application/x-javascript
